Day,Count,MovingAverage
"December 14, 2020",11,11
"December 14, 2020",11,11
"December 15, 2020",223,117
"December 15, 2020",223,117
"December 16, 2020","1,337",523.6666667
"December 16, 2020","1,337",523.6666667
"December 17, 2020","3,037",1152
"December 17, 2020","3,037",1152
"December 18, 2020","4,085",1738.60
"December 18, 2020","4,085",1738.60
"December 19, 2020","2,533",1871
"December 19, 2020","2,533",1871
"December 20, 2020","1,575",1828.71
"December 20, 2020","1,575",1828.71
"December 21, 2020","5,077",2552.43
"December 21, 2020","5,077",2552.43
"December 22, 2020","6,115",3394.14
"December 22, 2020","6,115",3394.14
"December 23, 2020","9,668",4584.29
"December 23, 2020","9,668",4584.29
"December 24, 2020","3,795",4692.57
"December 24, 2020","3,795",4692.57
"December 25, 2020",305,4152.57
"December 25, 2020",305,4152.57
"December 26, 2020","2,830",4195
"December 26, 2020","2,830",4195
"December 27, 2020","1,834",4232
"December 27, 2020","1,834",4232
"December 28, 2020","10,145",4956
"December 28, 2020","10,145",4956
"December 29, 2020","10,403",5568.57
"December 29, 2020","10,403",5568.57
"December 30, 2020","11,416",5818.29
"December 30, 2020","11,416",5818.29
"December 31, 2020","6,193",6160.86
"December 31, 2020","6,193",6160.86
"January 1, 2021",116,6133.86
"January 1, 2021",116,6133.86
"January 2, 2021","3,548",6236.43
"January 2, 2021","3,548",6236.43
"January 3, 2021","1,451",6181.71
"January 3, 2021","1,451",6181.71
"January 4, 2021","9,401",6075.43
"January 4, 2021","9,401",6075.43
"January 5, 2021","11,869",6284.86
"January 5, 2021","11,869",6284.86
"January 6, 2021","15,370",6849.71
"January 6, 2021","15,370",6849.71
"January 7, 2021","15,764",8217
"January 7, 2021","15,764",8217
"January 8, 2021","16,981",10626.29
"January 8, 2021","16,981",10626.29
"January 9, 2021","4,930",10823.71
"January 9, 2021","4,930",10823.71
"January 10, 2021","3,541",11122.29
"January 10, 2021","3,541",11122.29
"January 11, 2021","11,740",11456.43
"January 11, 2021","11,740",11456.43
"January 12, 2021","15,201",11932.43
"January 12, 2021","15,201",11932.43
"January 13, 2021","18,493",12378.57
"January 13, 2021","18,493",12378.57
"January 14, 2021","18,649",12790.71
"January 14, 2021","18,649",12790.71
"January 15, 2021","15,818",12624.57
"January 15, 2021","15,818",12624.57
"January 16, 2021","5,037",12639.86
"January 16, 2021","5,037",12639.86
"January 17, 2021","1,861",12399.86
"January 17, 2021","1,861",12399.86
"January 18, 2021","11,983",12434.57
"January 18, 2021","11,983",12434.57
"January 19, 2021","15,833",12524.86
"January 19, 2021","15,833",12524.86
"January 20, 2021","24,059",13320
"January 20, 2021","24,059",13320
"January 21, 2021","25,734",14332.14
"January 21, 2021","25,734",14332.14
"January 22, 2021","21,844",15193
"January 22, 2021","21,844",15193
"January 23, 2021","7,673",15569.57
"January 23, 2021","7,673",15569.57
"January 24, 2021","2,065",15598.71
"January 24, 2021","2,065",15598.71
"January 25, 2021","21,760",16995.43
"January 25, 2021","21,760",16995.43
"January 26, 2021","28,976",18873
"January 26, 2021","28,976",18873
"January 27, 2021","47,675",22246.71
"January 27, 2021","47,675",22246.71
"January 28, 2021","44,191",24883.43
"January 28, 2021","44,191",24883.43
"January 29, 2021","38,984",27332
"January 29, 2021","38,984",27332
"January 30, 2021","18,855",28929.43
"January 30, 2021","18,855",28929.43
"January 31, 2021","7,200",29663
"January 31, 2021","7,200",29663
"February 1, 2021","28,604",30640.71
"February 1, 2021","28,604",30640.71
"February 2, 2021","38,549",32008.29
"February 2, 2021","38,549",32008.29
"February 3, 2021","50,082",32352.14
"February 3, 2021","50,082",32352.14
"February 4, 2021","41,147",31917.29
"February 4, 2021","41,147",31917.29
"February 5, 2021","42,010",32349.57
"February 5, 2021","42,010",32349.57
"February 6, 2021","17,222",32116.29
"February 6, 2021","17,222",32116.29
"February 7, 2021","4,934",31792.57
"February 7, 2021","4,934",31792.57
"February 8, 2021","21,841",30826.43
"February 8, 2021","21,841",30826.43
"February 9, 2021","29,201",29491
"February 9, 2021","29,201",29491
"February 10, 2021","43,855",28601.43
"February 10, 2021","43,855",28601.43
"February 11, 2021","43,559",28946
"February 11, 2021","43,559",28946
"February 12, 2021","46,008",29517.14
"February 12, 2021","46,008",29517.14
"February 13, 2021","19,358",29822.29
"February 13, 2021","19,358",29822.29
"February 14, 2021","6,585",30058.14
"February 14, 2021","6,585",30058.14
"February 15, 2021","19,852",29774
"February 15, 2021","19,852",29774
"February 16, 2021","30,576",29970.43
"February 16, 2021","30,576",29970.43
"February 17, 2021","48,523",30637.29
"February 17, 2021","48,523",30637.29
"February 18, 2021","47,876",31254
"February 18, 2021","47,876",31254
"February 19, 2021","37,805",30082.14
"February 19, 2021","37,805",30082.14
"February 20, 2021","17,069",29755.14
"February 20, 2021","17,069",29755.14
"February 21, 2021","5,428",29589.86
"February 21, 2021","5,428",29589.86
"February 22, 2021","24,796",30296.14
"February 22, 2021","24,796",30296.14
"February 23, 2021","30,876",30339
"February 23, 2021","30,876",30339
"February 24, 2021","48,311",30308.71
"February 24, 2021","48,311",30308.71
"February 25, 2021","58,664",31849.86
"February 25, 2021","58,664",31849.86
"February 26, 2021","49,761",33557.86
"February 26, 2021","49,761",33557.86
"February 27, 2021","28,161",35142.43
"February 27, 2021","28,161",35142.43
"February 28, 2021","11,729",36042.57
"February 28, 2021","11,729",36042.57
"March 1, 2021","34,814",37473.71
"March 1, 2021","34,814",37473.71
"March 2, 2021","46,771",39744.43
"March 2, 2021","46,771",39744.43
"March 3, 2021","62,956",41836.57
"March 3, 2021","62,956",41836.57
"March 4, 2021","56,248",41491.43
"March 4, 2021","56,248",41491.43
"March 5, 2021","53,756",42062.14
"March 5, 2021","53,756",42062.14
"March 6, 2021","22,876",41307.14
"March 6, 2021","22,876",41307.14
"March 7, 2021","8,821",40891.71
"March 7, 2021","8,821",40891.71
"March 8, 2021","28,579",40001
"March 8, 2021","28,579",40001
"March 9, 2021","42,684",39417.14
"March 9, 2021","42,684",39417.14
"March 10, 2021","67,602",40080.86
"March 10, 2021","67,602",40080.86
"March 11, 2021","66,614",41561.71
"March 11, 2021","66,614",41561.71
"March 12, 2021","59,278",42350.57
"March 12, 2021","59,278",42350.57
"March 13, 2021","32,261",43691.29
"March 13, 2021","32,261",43691.29
"March 14, 2021","9,382",43771.43
"March 14, 2021","9,382",43771.43
"March 15, 2021","27,263",43583.43
"March 15, 2021","27,263",43583.43
"March 16, 2021","47,194",44227.71
"March 16, 2021","47,194",44227.71
"March 17, 2021","69,926",44559.71
"March 17, 2021","69,926",44559.71
"March 18, 2021","72,212",45359.43
"March 18, 2021","72,212",45359.43
"March 19, 2021","63,312",45935.71
"March 19, 2021","63,312",45935.71
"March 20, 2021","33,132",46060.14
"March 20, 2021","33,132",46060.14
"March 21, 2021","13,224",46609
"March 21, 2021","13,224",46609
"March 22, 2021","42,596",48799.43
"March 22, 2021","42,596",48799.43
"March 23, 2021","60,318",50674.29
"March 23, 2021","60,318",50674.29
"March 24, 2021","76,672",51638
"March 24, 2021","76,672",51638
"March 25, 2021","76,652",52272.29
"March 25, 2021","76,652",52272.29
"March 26, 2021","69,464",53151.14
"March 26, 2021","69,464",53151.14
"March 27, 2021","32,278",53029.14
"March 27, 2021","32,278",53029.14
"March 28, 2021","14,393",53196.14
"March 28, 2021","14,393",53196.14
"March 29, 2021","38,884",52665.86
"March 29, 2021","38,884",52665.86
"March 30, 2021","62,176",52931.29
"March 30, 2021","62,176",52931.29
"March 31, 2021","91,614",55065.86
"March 31, 2021","91,614",55065.86
"April 1, 2021","90,331",57020
"April 1, 2021","90,331",57020
"April 2, 2021","60,987",55809
"April 2, 2021","60,987",55809
"April 3, 2021","31,053",55634
"April 3, 2021","31,053",55634
"April 4, 2021","6,802",54549.57
"April 4, 2021","6,802",54549.57
"April 5, 2021","47,364",55761
"April 5, 2021","47,364",55761
"April 6, 2021","68,881",56718.86
"April 6, 2021","68,881",56718.86
"April 7, 2021","90,126",56506.29
"April 7, 2021","90,126",56506.29
"April 8, 2021","88,606",56259.86
"April 8, 2021","88,606",56259.86
"April 9, 2021","80,066",58985.43
"April 9, 2021","80,066",58985.43
"April 10, 2021","49,082",61561
"April 10, 2021","49,082",61561
"April 11, 2021","19,176",63328.71
"April 11, 2021","19,176",63328.71
"April 12, 2021","42,068",62572.14
"April 12, 2021","42,068",62572.14
"April 13, 2021","60,266",61341.43
"April 13, 2021","60,266",61341.43
"April 14, 2021","70,760",58574.86
"April 14, 2021","70,760",58574.86
"April 15, 2021","69,144",55794.57
"April 15, 2021","69,144",55794.57
"April 16, 2021","61,629",53160.71
"April 16, 2021","61,629",53160.71
"April 17, 2021","31,093",50590.86
"April 17, 2021","31,093",50590.86
"April 18, 2021","10,133",49299
"April 18, 2021","10,133",49299
"April 19, 2021","35,470",48356.43
"April 19, 2021","35,470",48356.43
"April 20, 2021","52,487",47245.14
"April 20, 2021","52,487",47245.14
"April 21, 2021","48,560",44073.71
"April 21, 2021","48,560",44073.71